type	begin	end	reward
0	1	1	"g-180,db-1800"
0	2	2	"g-168,db-1680"
0	3	3	"g-156,db-1560"
0	4	4	"g-150,db-1500"
0	5	5	"g-144,db-1440"
0	6	6	"g-138,db-1380"
0	7	7	"g-132,db-1320"
0	8	8	"g-126,db-1260"
0	9	9	"g-120,db-1200"
0	10	10	"g-114,db-1140"
0	11	20	"g-108,db-1080"
0	20	50	"g-102,db-1020"
1	1	1	"g-240,db-2400"
1	2	2	"g-228,db-2280"
1	3	3	"g-216,db-2160"
1	4	4	"g-204,db-2040"
1	5	5	"g-192,db-1920"
1	6	6	"g-180,db-1800"
1	7	7	"g-168,db-1680"
1	8	8	"g-156,db-1560"
1	9	9	"g-144,db-1440"
1	10	10	"g-132,db-1320"
1	11	20	"g-120,db-1200"
2	1	1	"g-300,db-3000"
2	2	2	"g-285,db-2850"
2	3	3	"g-270,db-2700"
2	4	4	"g-255,db-2550"
2	5	5	"g-240,db-2400"
2	6	6	"g-225,db-2250"
2	7	7	"g-210,db-2100"
2	8	8	"g-195,db-1950"
2	9	9	"g-180,db-1800"
2	10	10	"g-165,db-1650"
2	11	20	"g-150,db-1500"
3	1	1	"g-360,db-3600"
3	2	2	"g-345,db-3450"
3	3	3	"g-330,db-3300"
3	4	4	"g-315,db-3150"
3	5	5	"g-300,db-3000"
3	6	6	"g-285,db-2850"
3	7	7	"g-270,db-2700"
3	8	8	"g-255,db-2550"
3	9	9	"g-240,db-2400"
3	10	10	"g-225,db-2250"
3	11	20	"g-210,db-2100"
